road_id,road_type,road_length_km,road_condition,road_width_m,traffic_level,elevation_m,slope_degree,rainfall_mm,temperature_c,previous_disruptions,previous_accidents,flood,landslide,bridge_damage,road_accessible,risk_score,risk_category
R00001,State Highway,7.79,2,8.74,0,2125.7,33.37,40.31,25.72,3,1,0,0,0,1,0.1267450472781321,Safe
R00002,Village Road,6.99,0,7.13,0,1261.6,39.65,35.93,29.48,3,0,1,0,0,1,0.26599128016847173,Moderate
R00003,District Road,3.94,0,11.68,0,528.9,20.84,99.88,33.6,1,0,0,1,0,1,0.2562297778292425,Moderate
R00004,District Road,12.34,1,4.97,0,1854.8,13.01,151.07,27.79,1,4,0,1,0,1,0.39813679687111714,Moderate
R00005,State Highway,9.79,1,8.29,0,1075.8,14.35,32.05,33.06,1,3,0,0,0,1,0.12045674586966224,Safe
R00006,State Highway,17.38,2,9.3,0,1506.8,31.36,160.29,23.75,0,4,0,0,0,1,0.2692647180152972,Moderate
R00007,Highway,1.13,3,10.43,0,312.8,25.54,166.07,17.23,2,2,0,0,0,1,0.3409069585975568,Moderate
R00008,Village Road,13.06,0,6.66,1,1597.4,21.89,94.33,26.46,1,1,0,0,0,1,0.1388222633668207,Safe
R00009,District Road,15.38,2,9.18,1,965.2,9.12,52.67,34.52,1,0,0,0,0,1,0.1476023119114722,Safe
R00010,District Road,15.31,0,5.73,1,868.8,39.4,58.6,27.74,4,3,0,0,0,1,0.18088951112022006,Safe
R00011,Highway,17.78,1,6.92,3,2450.8,35.15,37.19,34.23,2,3,0,1,0,1,0.44798939595808873,Moderate
R00012,Village Road,14.72,0,11.06,1,1109.5,6.33,36.2,10.56,1,5,0,0,0,1,0.12233116708730585,Safe
R00013,Village Road,18.59,0,11.55,2,1711.2,16.53,44.31,16.46,3,3,0,0,0,1,0.005584350084449394,Safe
R00014,State Highway,6.99,0,9.47,3,1587.9,24.4,112.54,16.84,2,1,1,0,0,1,0.36394749957645484,Moderate
R00015,State Highway,10.31,0,6.37,0,305.5,20.45,56.98,20.67,5,0,0,0,0,1,0.13305121176672421,Safe
R00016,State Highway,0.77,2,10.38,1,1882.4,17.9,100.68,10.77,1,2,0,0,0,1,0.17592906262076932,Safe
R00017,State Highway,0.64,2,3.23,1,841.7,32.35,33.94,32.86,2,1,0,0,0,1,0.23817884543960954,Safe
R00018,District Road,5.18,3,3.92,1,2007.4,2.45,14.73,27.68,1,4,0,0,0,1,0.15745045638087737,Safe
R00019,District Road,2.47,1,8.95,0,1538.7,21.21,56.99,12.1,0,0,1,0,0,1,0.33718297688171445,Moderate
R00020,State Highway,5.57,0,5.62,2,826.9,11.8,15.98,14.37,4,2,0,0,0,1,0.09801087107798068,Safe
R00021,District Road,3.95,0,11.56,0,922.9,3.81,31.4,25.08,0,3,1,0,0,1,0.18585040406544798,Safe
R00022,Highway,1.06,0,6.92,3,1842.2,20.92,179.76,32.71,5,2,1,0,0,1,0.48503017709877866,Moderate
R00023,State Highway,18.23,0,6.86,2,1397.6,7.71,73.37,12.19,6,1,0,0,0,1,0.1871852169171352,Safe
R00024,State Highway,0.66,1,9.1,1,1687.5,11.62,68.7,20.83,2,0,1,1,0,1,0.5894645745191377,High
R00025,District Road,14.85,1,9.91,0,437.9,22.82,136.28,15.0,0,2,0,0,0,1,0.17610601565187756,Safe
R00026,Village Road,3.47,1,7.28,1,1978.1,43.82,56.07,14.51,0,2,0,1,0,1,0.3772242602477915,Moderate
R00027,State Highway,18.29,0,4.93,0,835.0,30.79,61.76,28.25,3,1,0,0,0,1,0.12665596854408132,Safe
R00028,District Road,17.91,0,9.96,0,1568.7,12.58,50.6,30.66,2,1,1,0,0,1,0.31471102678430457,Moderate
R00029,District Road,13.25,0,5.88,2,331.0,17.21,97.48,33.03,3,2,1,1,0,1,0.5372395448175326,High
R00030,Highway,13.61,0,4.58,1,837.5,18.28,63.69,27.1,3,0,0,0,0,1,0.11806354002968208,Safe
R00031,District Road,0.6,2,8.68,1,1639.7,6.91,65.54,11.64,0,1,0,0,0,1,0.08304566542792693,Safe
R00032,State Highway,19.7,0,3.81,2,721.8,7.23,41.31,18.93,0,1,0,0,0,1,0.09165543063873934,Safe
R00033,Highway,17.62,2,11.74,0,2206.8,6.68,117.96,21.04,1,3,0,0,0,1,0.18026003234114957,Safe
R00034,Village Road,17.95,1,8.69,1,1670.0,23.47,90.35,16.9,2,0,0,0,0,1,0.11645001248533438,Safe
R00035,Village Road,13.36,0,11.87,1,2182.2,30.34,58.29,23.5,1,2,0,0,0,1,0.14876101188406826,Safe
R00036,Village Road,7.22,2,6.05,1,1018.7,26.58,30.59,15.82,0,0,0,0,1,1,0.2612010567626349,Moderate
R00037,State Highway,17.93,1,11.74,2,133.3,44.0,138.1,32.49,2,2,0,1,0,1,0.4979294854686229,Moderate
R00038,Highway,6.18,0,4.31,3,1461.5,5.66,139.63,13.59,1,1,0,0,0,1,0.08537328665409956,Safe
R00039,District Road,11.47,2,3.37,1,881.0,44.39,91.22,20.65,4,1,0,0,0,1,0.2491419532937076,Safe
R00040,District Road,2.44,0,3.3,1,1148.1,21.0,69.65,13.12,2,2,0,0,0,1,0.19130746627457212,Safe
R00041,Highway,18.48,0,7.18,1,1718.7,9.84,25.63,18.96,1,1,0,0,0,1,0.0,Safe
R00042,District Road,3.25,2,3.75,2,1766.6,42.45,39.18,22.12,1,1,0,1,0,0,0.4087956914266592,Moderate
R00043,Highway,4.89,2,7.61,2,117.5,21.09,76.78,23.85,2,0,1,0,0,1,0.37788624961614453,Moderate
R00044,Village Road,11.38,0,5.95,0,1934.8,15.63,51.42,18.29,2,0,0,0,0,1,0.07912272858817469,Safe
R00045,State Highway,15.4,0,6.02,0,1259.1,9.62,21.64,30.24,3,2,0,0,0,1,0.026855495911474788,Safe
R00046,District Road,12.58,2,8.72,3,1413.9,12.05,123.25,22.89,1,1,1,0,0,1,0.43969580409963305,Moderate
R00047,State Highway,5.03,0,4.47,0,780.1,44.06,98.22,34.81,3,2,1,0,0,1,0.4261173242717781,Moderate
R00048,District Road,0.52,0,9.9,1,1081.0,13.68,67.79,13.09,5,1,0,0,1,1,0.24206120564042255,Safe
R00049,District Road,15.26,1,8.24,2,1790.4,44.0,74.37,14.59,0,0,0,0,0,1,0.2045253189101966,Safe
R00050,State Highway,19.71,3,11.23,1,1952.9,14.86,52.02,30.04,2,1,0,0,0,1,0.3028041140048172,Moderate
R00051,Village Road,16.29,0,6.28,1,998.4,10.41,53.56,23.86,0,1,1,0,1,1,0.4243868466583741,Moderate
R00052,Village Road,9.47,2,11.84,0,1743.2,8.25,139.35,19.0,1,0,0,0,0,1,0.13352996654411425,Safe
R00053,Village Road,18.12,1,8.18,3,682.2,18.53,19.35,20.26,2,1,0,0,0,1,0.13270191268695478,Safe
R00054,Village Road,8.49,1,11.76,0,2088.5,10.66,192.48,24.09,3,2,1,0,0,1,0.4567129618194165,Moderate
R00055,District Road,10.74,2,3.24,1,1544.0,31.36,7.33,12.14,0,1,0,0,0,1,0.15481410905920842,Safe
R00056,Village Road,9.8,3,9.55,1,1949.2,10.79,67.55,29.13,4,2,0,1,0,0,0.39597432503540075,Moderate
R00057,Highway,9.23,0,10.35,2,1219.0,37.59,69.08,21.23,2,1,0,0,0,1,0.13135799918485838,Safe
